['Année', 'Accidents', 'Décés', 'Risque (Nbre Décès/100 accidents)', 'Bléssés']['Année', 'Accidents', 'Décés', 'Risque (Nbre Décès/100 accidents)', 'Bléssés']['Année', 'Accidents', 'Décés', 'Risque (Nbre Décès/100 accidents)', 'Bléssés']['Année', 'Accidents', 'Décés', 'Risque (Nbre Décès/100 accidents)', 'Bléssés']['Année', 'Accidents', 'Décés', 'Risque (Nbre Décès/100 accidents)', 'Bléssés']
['2006', '10980', '1515', '13.80', '15147']
['2007', '10681', '1497', '14.02', '14559']
['2008', '10073', '1530', '15.19', '14085']
['2009', '9281', '1380', '14.87', '13050']
['2010', '8924', '1208', '13.54', '12495']
